year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage_kmpl,engine_cc,max_power_bhp,brand,car_age,owner_num
2018,730000,2388,Petrol,Individual,Manual,First Owner,5.0,18.6,1197.0,81.83,Hyundai,8,1
2017,650000,16200,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,9,1
2019,330000,10000,CNG,Individual,Manual,Second Owner,4.0,33.44,796.0,40.3,Maruti,7,2
2019,366000,15000,Petrol,Individual,Manual,First Owner,5.0,23.95,998.0,67.1,Maruti,7,1
2019,1149000,5000,Petrol,Individual,Manual,First Owner,5.0,17.0,1591.0,121.3,Hyundai,7,1
2016,150000,42000,Petrol,Individual,Manual,First Owner,5.0,20.63,1198.0,67.0,Datsun,10,1
2011,425000,60000,Diesel,Individual,Manual,Second Owner,7.0,13.93,2179.0,138.03,Tata,15,2
2012,150000,76000,Petrol,Individual,Manual,First Owner,4.0,16.1,796.0,37.0,Maruti,14,1
2019,2100000,5000,Petrol,Individual,Automatic,First Owner,5.0,16.0,1368.0,160.77,Jeep,7,1
2018,925000,28900,Petrol,Dealer,Manual,First Owner,5.0,17.8,1497.0,117.3,Honda,8,1
2013,425000,86300,Petrol,Dealer,Manual,First Owner,5.0,16.8,1497.0,116.3,Honda,13,1
2018,675000,23300,Petrol,Dealer,Automatic,First Owner,5.0,18.5,1197.0,83.14,Maruti,8,1
2018,819999,32600,Diesel,Dealer,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,8,1
2018,390000,10300,Petrol,Dealer,Manual,First Owner,5.0,23.95,998.0,67.05,Maruti,8,1
2014,1500000,77000,Diesel,Dealer,Manual,First Owner,7.0,12.55,2982.0,168.5,Toyota,12,1
2013,700000,99000,Diesel,Dealer,Manual,First Owner,7.0,12.99,2494.0,100.0,Toyota,13,1
2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,5.0,14.8,2143.0,120.7,Mercedes-Benz,12,2
2015,425000,49800,Diesel,Dealer,Manual,First Owner,5.0,24.7,1498.0,98.63,Honda,11,1
2013,1090000,151000,Diesel,Dealer,Manual,First Owner,7.0,13.5,2477.0,175.56,Mitsubishi,13,1
2015,600000,54700,Diesel,Dealer,Manual,First Owner,5.0,26.0,1498.0,98.6,Honda,11,1
2018,850000,64000,Petrol,Dealer,Manual,First Owner,5.0,20.65,1462.0,103.25,Maruti,8,1
2015,525000,63000,Diesel,Dealer,Manual,First Owner,5.0,27.3,1498.0,98.6,Honda,11,1
2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,7.0,11.36,2755.0,171.5,Toyota,10,2
2016,950000,99000,Diesel,Dealer,Manual,First Owner,7.0,12.99,2494.0,100.6,Toyota,10,1
2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,5.0,17.68,1968.0,174.33,Audi,13,2
2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,5.0,14.28,1798.0,138.03,Toyota,8,1
2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,5.0,18.53,1968.0,187.74,Audi,13,1
2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,5.0,14.84,2143.0,170.0,Mercedes-Benz,13,1
2011,265000,120000,Diesel,Individual,Manual,First Owner,5.0,21.12,1248.0,88.8,Tata,15,1
2011,190000,110000,Petrol,Individual,Manual,Third Owner,5.0,20.36,1197.0,78.9,Hyundai,15,3
2013,425000,60000,Diesel,Individual,Manual,First Owner,5.0,21.27,1396.0,88.76,Hyundai,13,1
2015,630000,147000,Diesel,Individual,Manual,Second Owner,5.0,26.59,1248.0,74.0,Maruti,11,2
2017,600000,25000,Petrol,Individual,Manual,Third Owner,5.0,18.16,1196.0,86.8,Ford,9,3
2019,650000,30000,Petrol,Individual,Manual,First Owner,5.0,21.4,1197.0,83.1,Maruti,7,1
2016,540000,40000,Diesel,Individual,Manual,First Owner,5.0,22.0,1498.0,108.495,Volkswagen,10,1
2015,630000,135000,Diesel,Individual,Manual,First Owner,5.0,25.1,1498.0,98.6,Honda,11,1
2018,448000,30000,Petrol,Individual,Automatic,First Owner,5.0,20.51,998.0,67.0,Maruti,8,1
2017,500000,80000,Diesel,Individual,Manual,First Owner,5.0,21.66,1498.0,108.62,Volkswagen,9,1
2016,745000,70000,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,10,1
2019,1025000,9850,Diesel,Individual,Automatic,First Owner,5.0,24.3,1248.0,88.5,Maruti,7,1
2011,235000,60000,Petrol,Individual,Manual,Second Owner,5.0,20.36,1197.0,78.9,Hyundai,15,2
2016,630000,70000,Diesel,Individual,Manual,First Owner,5.0,25.2,1248.0,74.0,Maruti,10,1
2015,1700000,78000,Diesel,Individual,Manual,Second Owner,7.0,12.55,2982.0,168.5,Toyota,11,2
2013,450000,120000,Diesel,Individual,Manual,Second Owner,5.0,22.9,1248.0,74.0,Maruti,13,2
2012,450000,120000,Petrol,Individual,Manual,Second Owner,7.0,16.02,1373.0,93.7,Maruti,14,2
2003,50000,70000,Diesel,Individual,Manual,First Owner,,,,,Tata,23,1
2013,450000,170000,Diesel,Individual,Manual,First Owner,5.0,20.54,1598.0,103.6,Volkswagen,13,1
2016,1200000,140000,Diesel,Individual,Manual,First Owner,8.0,12.99,2494.0,100.6,Toyota,10,1
2015,610000,90000,Diesel,Individual,Manual,First Owner,5.0,22.77,1498.0,98.59,Ford,11,1
2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,5.0,15.71,1998.0,189.0,Bmw,10,2
2017,484999,10000,Petrol,Dealer,Manual,First Owner,5.0,23.1,998.0,67.04,Maruti,9,1
2016,275000,49000,Petrol,Dealer,Manual,First Owner,5.0,19.02,1198.0,67.05,Datsun,10,1
2016,315000,32000,Petrol,Dealer,Manual,First Owner,5.0,24.7,796.0,47.3,Maruti,10,1
2016,275000,38000,Petrol,Dealer,Manual,First Owner,5.0,24.7,796.0,47.3,Maruti,10,1
2015,475000,78000,Diesel,Dealer,Manual,First Owner,,,,,Maruti,11,1
2012,290000,28000,Petrol,Dealer,Manual,First Owner,5.0,19.81,1086.0,68.05,Hyundai,14,1
2017,280000,32000,Petrol,Dealer,Manual,First Owner,5.0,14.0,796.0,35.0,Maruti,9,1
2010,225000,44000,LPG,Dealer,Manual,First Owner,5.0,26.2,998.0,58.2,Maruti,16,1
2015,455000,42000,Petrol,Dealer,Manual,First Owner,5.0,16.47,1198.0,74.0,Volkswagen,11,1
2015,351000,45000,Petrol,Dealer,Manual,Second Owner,5.0,19.81,1086.0,68.05,Hyundai,11,2
2012,535000,12000,Petrol,Dealer,Manual,Second Owner,5.0,15.04,1598.0,103.6,Volkswagen,14,2
2009,175000,55500,Petrol,Dealer,Manual,First Owner,5.0,18.2,998.0,67.1,Maruti,17,1
2013,525000,61500,Petrol,Dealer,Manual,First Owner,5.0,18.5,1197.0,82.85,Hyundai,13,1
2016,600000,150000,Diesel,Individual,Manual,First Owner,5.0,26.59,1248.0,74.0,Maruti,10,1
2016,565000,72000,Petrol,Dealer,Automatic,First Owner,5.0,19.1,1197.0,82.0,Hyundai,10,1
2008,120000,68000,Petrol,Dealer,Manual,Third Owner,5.0,19.7,796.0,46.3,Maruti,18,3
2017,725000,110000,Diesel,Individual,Manual,First Owner,5.0,22.54,1396.0,88.73,Hyundai,9,1
2009,185000,77000,Petrol,Dealer,Manual,Second Owner,5.0,21.79,998.0,67.05,Maruti,17,2
2010,200000,100000,Diesel,Individual,Manual,Second Owner,5.0,18.8,1248.0,90.0,Tata,16,2
2019,615000,10000,Petrol,Individual,Manual,First Owner,5.0,21.21,1197.0,81.8,Maruti,7,1
2016,270000,100000,Petrol,Individual,Manual,Third Owner,7.0,15.37,1196.0,73.0,Maruti,10,3
2018,610000,35000,Petrol,Individual,Manual,First Owner,5.0,21.4,1197.0,83.1,Maruti,8,1
2014,625000,70000,Diesel,Individual,Automatic,Second Owner,8.0,11.79,2179.0,120.0,Mahindra,12,2
2020,400000,5000,Petrol,Individual,Manual,Second Owner,5.0,19.0,1194.0,94.68,Ford,6,2
2017,866000,37800,Petrol,Individual,Manual,First Owner,5.0,17.0,1591.0,121.3,Hyundai,9,1
2010,700000,114000,Petrol,Individual,Manual,First Owner,5.0,14.3,1798.0,160.0,Volkswagen,16,1
2010,300000,48000,Petrol,Individual,Manual,First Owner,5.0,15.8,1172.0,65.0,Tata,16,1
2019,1700000,32000,Diesel,Individual,Manual,First Owner,7.0,15.1,2179.0,155.0,Mahindra,7,1
2016,375000,100000,Diesel,Individual,Manual,First Owner,5.0,19.09,1405.0,69.01,Tata,10,1
2013,522000,150000,Diesel,Individual,Manual,Second Owner,5.0,22.32,1582.0,126.32,Hyundai,13,2
2013,451999,69000,Diesel,Individual,Manual,First Owner,5.0,21.9,1396.0,88.76,Hyundai,13,1
2009,300000,100000,Petrol,Individual,Manual,Second Owner,5.0,14.53,1798.0,138.1,Toyota,17,2
2020,475000,13000,Petrol,Individual,Manual,First Owner,5.0,21.63,998.0,67.04,Maruti,6,1
2016,780000,60000,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,10,1
2017,595000,40000,Petrol,Individual,Manual,First Owner,5.0,20.85,1197.0,83.14,Maruti,9,1
2017,440000,35000,Petrol,Individual,Manual,First Owner,5.0,20.51,998.0,67.04,Maruti,9,1
2010,300000,120000,Diesel,Individual,Manual,Second Owner,,,,,Maruti,16,2
2014,400000,70000,Diesel,Individual,Manual,Third Owner,5.0,20.45,1461.0,83.8,Nissan,12,3
2016,1140000,50000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582.0,126.2,Hyundai,10,1
2017,850000,76139,Diesel,Individual,Manual,First Owner,5.0,23.0,1498.0,98.96,Ford,9,1
2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,19.3,1248.0,73.9,Maruti,14,4
2018,350000,25000,Petrol,Individual,Manual,First Owner,5.0,23.01,999.0,67.0,Renault,8,1
2015,360000,40000,Petrol,Individual,Manual,Second Owner,5.0,23.1,998.0,67.04,Maruti,11,2
2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,19.7,796.0,46.3,Maruti,18,4
2013,625000,90000,Diesel,Individual,Manual,Second Owner,7.0,20.77,1248.0,88.76,Maruti,13,2
2009,135000,80000,Petrol,Individual,Manual,Second Owner,5.0,17.92,1086.0,62.1,Hyundai,17,2
2015,700000,110000,Diesel,Individual,Manual,Second Owner,7.0,20.77,1248.0,88.76,Maruti,11,2
2019,690000,1303,Petrol,Dealer,Manual,First Owner,5.0,17.8,1198.0,86.7,Honda,7,1
2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,5.0,17.01,1968.0,188.0,Audi,8,1
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,5.0,22.37,2487.0,214.56,Lexus,7,1
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,5.0,19.33,1999.0,177.0,Jaguar,9,1
2017,4100000,17000,Petrol,Individual,Automatic,First Owner,5.0,9.5,3604.0,280.0,Jeep,9,1
2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,7.0,12.83,1999.0,148.31,Land,7,1
2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,5.0,13.5,2987.0,254.79,Mercedes-Benz,9,1
2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,5.0,22.48,1995.0,187.74,Bmw,8,1
2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,,,,,Bmw,9,1
2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,5.0,16.78,1995.0,190.0,Bmw,7,1
2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,5.0,14.67,1798.0,177.46,Skoda,8,1
2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,5.0,15.0,2143.0,204.0,Mercedes-Benz,10,1
2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,5.0,13.96,1451.0,141.0,Mg,7,1
2017,795000,41000,Petrol,Dealer,Automatic,First Owner,5.0,18.0,1497.0,117.6,Honda,9,1
2013,625000,39000,Petrol,Dealer,Automatic,First Owner,5.0,14.28,1798.0,138.03,Toyota,13,1
2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,5.0,18.0,1969.0,190.0,Volvo,8,1
2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,7.0,12.07,2967.0,241.4,Audi,11,1
2015,535000,40000,Diesel,Dealer,Manual,First Owner,5.0,26.21,1248.0,88.5,Maruti,11,1
2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,5.0,13.5,2987.0,282.0,Mercedes-Benz,9,1
2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,5.0,10.8,2497.0,150.0,Bmw,16,2
2016,805000,49900,Petrol,Dealer,Manual,First Owner,5.0,16.3,1797.0,147.5,Hyundai,10,1
2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,5.0,13.6,1999.0,177.0,Jaguar,9,1
2018,811000,11000,Petrol,Dealer,Manual,First Owner,5.0,17.0,1198.0,108.5,Tata,8,1
2011,375000,49000,Petrol,Individual,Manual,First Owner,5.0,15.04,1598.0,103.6,Volkswagen,15,1
2012,550000,95000,Petrol,Individual,Manual,First Owner,5.0,16.3,1797.0,147.5,Hyundai,14,1
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,5.0,14.3,1598.0,103.5,Skoda,10,1
2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,5.0,15.04,1991.0,183.0,Mercedes-Benz,8,1
2014,599000,46100,Petrol,Dealer,Manual,First Owner,7.0,16.02,1373.0,93.7,Maruti,12,1
2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,5.0,14.74,1991.0,181.04,Mercedes-Benz,9,1
2017,875000,18000,Petrol,Dealer,Automatic,First Owner,5.0,15.6,1497.0,116.3,Honda,9,1
2019,894999,9654,Petrol,Dealer,Automatic,First Owner,5.0,19.56,1197.0,81.8,Toyota,7,1
2011,175000,11000,Petrol,Dealer,Manual,First Owner,5.0,23.95,998.0,67.05,Maruti,15,1
2012,340000,24300,Petrol,Dealer,Manual,First Owner,5.0,21.21,1197.0,81.8,Maruti,14,1
2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,7.0,11.36,2755.0,171.5,Toyota,10,2
2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,5.0,21.5,1497.0,108.5,Tata,8,1
2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,5.0,22.69,1995.0,190.0,Bmw,10,1
2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,5.0,19.16,2494.0,157.7,Toyota,10,1
2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,5.0,18.12,1995.0,190.0,Bmw,10,1
2009,450000,71000,Petrol,Dealer,Automatic,First Owner,5.0,12.1,2362.0,164.7,Toyota,17,1
2016,850000,20000,Petrol,Individual,Manual,First Owner,7.0,17.5,1373.0,91.1,Maruti,10,1
2017,10000000,30000,Petrol,Individual,Automatic,First Owner,4.0,42.0,1969.0,400.0,Volvo,9,1
2011,300000,100000,Diesel,Individual,Manual,Second Owner,5.0,20.54,1598.0,103.6,Volkswagen,15,2
2018,575000,9500,Petrol,Individual,Manual,First Owner,5.0,18.16,1196.0,86.8,Ford,8,1
2011,160000,120000,Diesel,Individual,Manual,First Owner,5.0,20.0,1399.0,68.0,Ford,15,1
2015,515000,36600,Petrol,Individual,Manual,First Owner,5.0,20.4,1197.0,81.8,Maruti,11,1
2015,390000,50000,Petrol,Individual,Automatic,Second Owner,5.0,20.51,998.0,67.0,Maruti,11,2
2016,550000,14000,Petrol,Individual,Manual,Second Owner,5.0,18.6,1197.0,81.83,Hyundai,10,2
1999,40000,40000,Petrol,Individual,Manual,Second Owner,4.0,16.1,796.0,37.0,Maruti,27,2
2010,220000,120000,Diesel,Individual,Manual,First Owner,5.0,21.1,1248.0,73.9,Maruti,16,1
2015,425000,70000,Petrol,Individual,Manual,First Owner,5.0,18.9,1197.0,82.0,Hyundai,11,1
2019,480000,13000,Petrol,Individual,Manual,First Owner,5.0,19.44,999.0,75.0,Volkswagen,7,1
2014,400000,60000,Petrol,Individual,Manual,Second Owner,5.0,18.9,1197.0,82.0,Hyundai,12,2
2014,487000,35000,Petrol,Individual,Manual,First Owner,5.0,19.1,1197.0,85.8,Maruti,12,1
2016,386000,44000,Petrol,Individual,Manual,Second Owner,5.0,19.1,1197.0,82.0,Hyundai,10,2
2005,100000,120000,Petrol,Individual,Manual,Second Owner,5.0,13.0,1493.0,100.0,Honda,21,2
2010,300000,60000,Diesel,Individual,Manual,First Owner,5.0,21.43,1364.0,87.2,Toyota,16,1
2000,100000,60000,Petrol,Individual,Manual,First Owner,5.0,18.5,796.0,53.0,Daewoo,26,1
2014,1750000,30000,Diesel,Individual,Manual,Second Owner,7.0,13.0,2982.0,168.5,Toyota,12,2
2016,450000,15000,Petrol,Individual,Manual,Second Owner,6.0,18.15,1198.0,82.0,Mahindra,10,2
2017,490000,90000,Diesel,Individual,Manual,First Owner,5.0,22.95,1248.0,74.0,Tata,9,1
2009,345000,47000,Petrol,Individual,Manual,Second Owner,5.0,17.0,1497.0,118.0,Honda,17,2
2005,85000,90000,Petrol,Individual,Manual,First Owner,5.0,17.3,993.0,60.0,Maruti,21,1
2010,215000,120600,Petrol,Individual,Manual,Second Owner,5.0,18.9,998.0,67.1,Maruti,16,2
2010,320000,100000,Petrol,Individual,Manual,Third Owner,5.0,16.2,1599.0,103.2,Hyundai,16,3
2016,459999,60000,Petrol,Individual,Manual,Second Owner,5.0,20.85,1197.0,83.14,Maruti,10,2
2005,65000,86000,Petrol,Individual,Manual,First Owner,5.0,15.3,1341.0,83.0,Hyundai,21,1
2020,720000,5000,Petrol,Individual,Manual,First Owner,5.0,18.6,1197.0,81.86,Hyundai,6,1
2017,800000,37000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248.0,88.5,Maruti,9,1
2019,520000,14000,Petrol,Individual,Manual,First Owner,5.0,20.3,1199.0,84.0,Tata,7,1
2015,580000,70000,Diesel,Individual,Manual,First Owner,7.0,20.77,1248.0,88.76,Maruti,11,1
2012,235000,120000,Diesel,Individual,Manual,First Owner,,,,,Toyota,14,1
2015,600000,50000,Petrol,Individual,Manual,First Owner,5.0,17.4,1497.0,117.3,Honda,11,1
2014,290000,60000,Petrol,Individual,Manual,Second Owner,5.0,19.4,1198.0,86.8,Honda,12,2
2016,360000,50000,CNG,Individual,Manual,First Owner,5.0,26.6,998.0,58.16,Maruti,10,1
2017,550000,50000,Petrol,Individual,Manual,First Owner,5.0,20.85,1197.0,83.14,Maruti,9,1
2013,375000,70000,Petrol,Individual,Manual,First Owner,5.0,18.5,1197.0,82.85,Hyundai,13,1
2003,40000,90000,Petrol,Individual,Manual,Second Owner,,,,,Maruti,23,2
2018,420000,35000,Petrol,Individual,Automatic,First Owner,5.0,20.51,998.0,67.0,Maruti,8,1
2017,550000,20000,Petrol,Individual,Manual,First Owner,5.0,21.21,1197.0,81.8,Maruti,9,1
2018,270000,20000,Petrol,Individual,Manual,First Owner,5.0,24.7,796.0,47.3,Maruti,8,1
2018,700000,7800,Petrol,Individual,Automatic,First Owner,5.0,22.0,1197.0,81.8,Maruti,8,1
2017,500000,20000,Petrol,Individual,Manual,First Owner,5.0,20.4,1197.0,81.8,Maruti,9,1
2019,1250000,15000,Diesel,Individual,Manual,First Owner,7.0,17.6,2179.0,147.94,Tata,7,1
2013,320000,31377,Petrol,Individual,Manual,Second Owner,5.0,18.5,1197.0,82.85,Hyundai,13,2
2018,700000,50000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248.0,74.02,Maruti,8,1
2015,290000,60000,Petrol,Individual,Manual,First Owner,5.0,20.51,998.0,67.04,Maruti,11,1
2012,550000,100000,Petrol,Individual,Automatic,First Owner,5.0,14.53,1794.0,138.1,Toyota,14,1
2012,265000,60000,Petrol,Individual,Manual,First Owner,5.0,19.4,1198.0,86.8,Honda,14,1
2018,830000,5000,Petrol,Individual,Automatic,First Owner,5.0,21.4,1197.0,83.1,Maruti,8,1
2017,800000,60000,Diesel,Individual,Manual,First Owner,7.0,14.1,2179.0,147.94,Tata,9,1
2011,160000,25000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796.0,46.3,Maruti,15,2
2018,335000,30000,Petrol,Individual,Manual,First Owner,5.0,25.17,799.0,53.3,Renault,8,1
2017,329000,80000,Petrol,Individual,Manual,Second Owner,5.0,20.63,1198.0,67.0,Datsun,9,2
2017,775000,75000,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,9,1
2020,524000,32000,Petrol,Individual,Manual,First Owner,5.0,20.14,1197.0,81.86,Hyundai,6,1
2015,245000,40000,Petrol,Individual,Manual,First Owner,5.0,22.74,796.0,47.3,Maruti,11,1
2012,275000,93000,Petrol,Individual,Manual,Second Owner,5.0,17.0,1197.0,80.0,Hyundai,14,2
2018,520000,60000,Petrol,Individual,Manual,First Owner,5.0,17.57,1193.0,88.7,Tata,8,1
2008,130000,120000,Petrol,Individual,Manual,Second Owner,,,,,Maruti,18,2
2014,550000,37000,Petrol,Individual,Manual,First Owner,5.0,16.95,1498.0,97.7,Nissan,12,1
2018,910000,15000,Petrol,Individual,Manual,First Owner,5.0,17.0,1497.0,121.36,Ford,8,1
2015,300000,80000,Petrol,Individual,Manual,First Owner,5.0,19.49,1198.0,67.04,Nissan,11,1
2016,350000,140000,Petrol,Individual,Manual,First Owner,5.0,20.51,998.0,67.04,Maruti,10,1
2013,900000,70000,Diesel,Individual,Manual,First Owner,7.0,12.83,2696.0,162.0,Mahindra,13,1
2013,300000,120000,Diesel,Individual,Manual,Second Owner,7.0,17.21,1493.0,100.0,Mahindra,13,2
2010,250000,110000,Diesel,Individual,Manual,Second Owner,5.0,21.1,1248.0,73.9,Maruti,16,2
2017,1100000,37000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582.0,126.2,Hyundai,9,1
2016,270000,44000,Petrol,Individual,Manual,First Owner,5.0,25.17,799.0,53.3,Renault,10,1
2015,640000,80000,Diesel,Individual,Manual,First Owner,7.0,20.77,1248.0,88.76,Maruti,11,1
2015,650000,125000,Diesel,Individual,Manual,First Owner,7.0,15.1,2179.0,140.0,Mahindra,11,1
2017,409999,13500,Petrol,Individual,Manual,First Owner,5.0,15.37,1196.0,73.0,Maruti,9,1
2011,165000,75000,Petrol,Individual,Manual,First Owner,5.0,17.92,1086.0,62.1,Hyundai,15,1
2007,80000,120000,Petrol,Individual,Manual,Second Owner,5.0,13.2,1495.0,94.0,Hyundai,19,2
2012,535000,120000,Diesel,Individual,Manual,First Owner,7.0,15.1,2179.0,140.0,Mahindra,14,1
2013,700000,70000,Diesel,Individual,Manual,First Owner,7.0,12.99,2494.0,100.57,Toyota,13,1
2013,550000,70000,Diesel,Individual,Manual,First Owner,5.0,23.4,1248.0,74.0,Maruti,13,1
2019,680000,15000,Petrol,Individual,Automatic,First Owner,5.0,19.0,1199.0,88.76,Honda,7,1
2009,200000,53000,Petrol,Individual,Manual,Second Owner,5.0,20.36,1197.0,78.9,Hyundai,17,2
2014,500000,120000,Diesel,Individual,Manual,Second Owner,5.0,23.4,1248.0,74.0,Maruti,12,2
2016,1000000,70000,Diesel,Individual,Manual,First Owner,7.0,24.52,1248.0,88.5,Maruti,10,1
2008,110000,120000,Petrol,Individual,Manual,Second Owner,5.0,14.2,1341.0,82.9,Hyundai,18,2
2012,320000,100000,Petrol,Individual,Manual,Second Owner,5.0,18.5,1197.0,80.0,Hyundai,14,2
2005,75000,110000,Diesel,Individual,Manual,Second Owner,,,,,Tata,21,2
2015,350000,100000,Petrol,Individual,Manual,First Owner,5.0,20.4,1197.0,83.11,Maruti,11,1
2013,170000,162500,Diesel,Individual,Manual,First Owner,5.0,19.4,1405.0,70.0,Tata,13,1
2017,800000,39000,Diesel,Individual,Manual,First Owner,5.0,22.54,1396.0,88.73,Hyundai,9,1
2017,500000,75000,Diesel,Individual,Manual,First Owner,5.0,26.8,1248.0,74.0,Maruti,9,1
2017,1380000,50000,Diesel,Individual,Automatic,First Owner,7.0,17.6,2179.0,153.86,Tata,9,1
2019,1300000,40000,Diesel,Individual,Manual,First Owner,8.0,17.3,1497.0,121.0,Mahindra,7,1
